dataset,contamination,train_rows,evaluation_rows,tp,fp,tn,fn,precision,recall,f1,specificity,n_estimators,random_seed,primary_setting
held_out_evaluation,0.05,2400,600,12,12,558,18,0.5,0.4,0.4444444444444444,0.9789473684210527,300,20260924,False
held_out_evaluation,0.08,2400,600,14,28,542,16,0.3333333333333333,0.4666666666666667,0.3888888888888889,0.9508771929824561,300,20260924,True
held_out_evaluation,0.1,2400,600,14,43,527,16,0.24561403508771928,0.4666666666666667,0.3218390804597701,0.9245614035087719,300,20260924,False
