contamination,tp,fp,tn,fn,precision,recall,f1,specificity,primary_setting,selection_note
0.05,12,12,558,18,0.5,0.4,0.4444444444444444,0.9789473684210527,False,Sensitivity analysis setting; not used to select the primary setting.
0.08,14,28,542,16,0.3333333333333333,0.4666666666666667,0.3888888888888889,0.9508771929824561,True,Primary setting retained from exploratory Stage 4 for continuity; not selected using held-out labels or F1.
0.1,14,43,527,16,0.24561403508771928,0.4666666666666667,0.3218390804597701,0.9245614035087719,False,Sensitivity analysis setting; not used to select the primary setting.
